job_id,job_title,date,company_name,field,country,country_code,region,coordinates,full_description
BG1,"Engineer, designer",2025-12-05,KSELLA TCISE EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",- CAD design and construction of standard and non-standard roofs and walls from prefabricated elements/panels - preparation of quantity estimates; - coordination of the project with designers and contractors; - collaboration and teamwork with other structural units of the company
BG3,"Engineer, investor control",2025-11-06,MUNICIPAL ENTERPRISE 'INVESTMENT POLICY' division,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Prepares preliminary quantity-cost estimates for new construction, rehabilitation, major repairs, and current repairs. Monitors the work of the contractor, construction supervision of the sites. Inspects the sites, identifies, controls, reports in case of discrepancies, accepts and reports on the work at the sites. Compliance with duties according to job description; the internal rules and procedures describing the stages of the process for investor control; the internal labor regulations. Knowledge of legal provisions related to construction and control."
BG4,Service technician,2025-10-22,RENTAM EAD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Diagnoses and services lifts, platforms, generators, and others in the region of Stara Zagora and its surroundings/Southwest. Fills out service protocols for performed repairs. Prepares and inspects the machines before handing them over to the client. Participates in the acceptance of machines and their cleaning."
BG6,Technical Support Consultant – Swedish Speaking,2025-09-04,Recruitas AB,Other / Undefined,Bulgaria,BG,Sofia,"(42.6977, 23.3219)","Are you looking to take the next step in your career and grow in an international environment? Our client – a global leader in customer experience solutions – is now expanding their team in Sofia, and they’re looking for Swedish-speaking tech enthusiasts to join their dynamic support team. About the Role: As a Technical Solutions Consultant, you'll help users get the most out of well-known tech products and services. Your main tasks will include: Providing outstanding customer support via phone, email, and chat Troubleshooting and guiding customers through technical issues Understanding customer needs and delivering effective solutions Ensuring excellent client experience and satisfaction No previous experience is required – full training is provided! What matters most is your fluency in Swedish, good English skills, a positive attitude, and a genuine interest in technology. What’s in It for You: Fully paid training to set you up for success Long-term career opportunities in a stable and growing company Attractive salary package + bonuses Private health insurance and access to wellness services 50+ employee benefits to choose from A friendly international work environment with colleagues from all over Europe Ongoing support and professional development Employee referral bonuses Be part of a company that prioritizes well-being, growth, and team spirit Why Live and Work in Sofia? Sofia offers a vibrant, affordable lifestyle in the heart of the Balkans. With a rich cultural history, modern infrastructure, and a lively expat community, the city combines professional opportunity with amazing leisure – including: Low living costs and high quality of life Beautiful nearby mountains for hiking and skiing Lively cafés, bars, and cultural festivals year-round Direct connections to major European cities A welcoming and diverse international scene Ready to launch your international career? Apply now and take your first step toward an exciting future in Bulgaria or send an email to erika@recruitas.com if you have any questions!"
BG8,"Organizer, processing of production information",2025-10-20,BULLTEK OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Planning of material needs using all available planning tools (mainly ERP system); Data analysis for movements of materials and stocks; Monitoring and optimization of stock levels; Input and maintenance of necessary information in ERP for material and production planning, using all available technical means; Coordinating the production flow for one or several products Good command of English and office package (mainly Excel), working with ERP system"
BG9,"Machine operator, metalworking machines",2025-10-15,FORTIBUS ENGINEERING EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Performs activities related to the setup (programming) and operation of computer-controlled metalworking machines. Assembles and installs the fixtures and tools on the machine. Loads the toolset with cutting tools. Operates the machine in manual and automatic mode.
BG10,"Assembler, electrical equipment",2025-07-01,MONEL OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Connecting and mounting of grids, cables, panels, etc.; work on sites in Ruse and the country basic concepts for installation, technical literacy."
BG11,"Assembler, cables",2025-08-21,COMTRADE OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Installation of video surveillance systems. The candidate must have technical skills to work with tools and carry out wiring for low-current installations. A driver's license is required. Previous experience is not necessary.
BG13,"Developer, software",2025-10-01,ES BI TEK (GLOBAL) LIMITED - BRANCH BULGARIA KCHT Branch of a foreign entity,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Is responsible for the condition and functioning of developed software products and systems; Introduces, adapts, and maintains software products and systems; Compiles algorithms and flowcharts for certain programs or parts of them; Is responsible for damages caused by the information and software assurance system; Performs specific tasks assigned related to the position. The PM roles are for persons with 50% and above 50% disability as per quota under Article 38, paragraph 1 of the ZHU."
BG15,"Developer, interactive content",2025-06-25,Bosch Digital EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Designs user-friendly and user-oriented interface solutions for various projects, utilizing skills and experience in the listed technologies 2. Assists in the overall development and maintenance of the company’s digital design system, along with the central corporate design team. 3. Ensures consistently high quality of user experience related to the company's brand 4. Participates in the entire design process from gathering requirements together with the product owner to creating mockups of user interfaces and design specifications. 5. Actively implements design improvements based on user feedback. 6. Works closely with software development teams, following agile principles in implementing user interfaces. 7. Collaborates with relevant stakeholders from various departments within the company as well as with external suppliers."
BG16,"Employee, maintenance",2025-11-27,CENTRAL PARK 1 EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Maintains the garden area / mowing / Responsible for the maintenance of the pool during the summer season; Makes requests for necessary materials and supplies required for the maintenance of the complex.
BG18,"Technical Leader, Construction",2025-08-08,AS-STROY - EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Prepares and processes technical documentation related to the construction process (drawings, specifications, offers, contracts, etc.). Organizes and implements archiving and storage of the documentation. Monitors the timely submission of necessary documents to the relevant authorities and instances. Collects, organizes, and monitors the execution of all technical documents and drawings of the site. Periodically checks the compliance of completed activities with approved drawings and specifications. Coordinates the communication between the engineering team, construction manager, and other departments related to the construction process."
BG20,"Developer, software",2025-06-24,CIRCLES BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Designs, develops, and maintains scalable, high-performance C++ applications, implements reusable components, modules, and services, following best practices; conducts code reviews to ensure high-quality maintainable code. Participates in daily meetings, planning meetings, sprint planning, and retrospectives in Agile/Scrum teams."
BG21,"Expert, design and programming",2025-11-07,AURUBIS BULGARIA AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Responsible for the security of networks in automation systems. Participates in the preparation of design assignments and delivery of equipment in the automation section, focusing on cybersecurity and integration with ERP, MES, data historian, and other software platforms. Participates in the selection of contractors for projects related to automation and cybersecurity. Investigates possible applications of new devices and systems in the company and works on their implementation. Prepares documents related to IT and automation (schedules, protocols, reports, etc.) in Bulgarian and/or English. Participates in the acceptance and commissioning of new software products and automation systems. Monitors the proper operation of cybersecurity systems in automation. Participates in the implementation of solutions for protecting the industrial network from unauthorized access."
BG22,"Operator, user support",2025-10-28,TECHNOLEDGE OPS BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Customer service consultant for non-technical issues (Microsoft and OpenText) with English language; Project start date 13.11.2025. Works with a portfolio of corporate clients; Communication with clients is mainly in written form.
BG23,"Programmer, software applications",2025-10-03,KPMG IT Service OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Senior .NET programmer. Develops new programs and processes. Collects statistical data and prepares reports, tests new programs, documents the code development process, researches and recommends software applications, interacts with other teams in the company, and more, as described in detail in the CRM Request."
