job_id,job_title,date,company_name,field,country,country_code,region,coordinates,full_description
BG1,"Engineer, designer",2025-12-05,KSELLA TCISE EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",- CAD проектиране и конструиране на стандартни и нестандартни покриви и стени от монтажни елементи/панели - изготвяне на количествени сметки; - координация на проекта с проектанти и изпълнители; - сътрудничество и работа в екип с останалите структурни единици на компанията
BG3,"Engineer, investor control",2025-11-06,MUNICIPAL ENTERPRISE 'INVESTMENT POLICY' division,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Съставя предварителни количествено-стойностни сметки за обекти ново строителство, рехабилитация, основен ремонт, текущ ремонт. Контролира работата на изпълнителя, строителния надзор на обектите. Обхожда обектите, констатира, контролира, докладва при несъответствие, приема и отчита работата по обектите. Спазване задълженията по длъжностна характеристика; вътрешните правила и процедури, описващи етапите на процеса по инвеститорския контрол; правилника за вътрешния трудов ред. Познаване на законовите разпоредби, свързани със строителство и контрол."
BG4,Service technician,2025-10-22,RENTAM EAD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Извършва диагностика и сервизиране на вишки, платформи, генератори и други в регион Стара Загора и околностите/Югозападен. Попълва сервизни протоколи за извършени ремонти. Подготвя и инспектира машините преди предаване на клиент. Участва в прием на машини и тяхното почистване"
BG6,Technical Support Consultant – Swedish Speaking,2025-09-04,Recruitas AB,Other / Undefined,Bulgaria,BG,Sofia,"(None, None)","Are you looking to take the next step in your career and grow in an international environment? Our client – a global leader in customer experience solutions – is now expanding their team in Sofia, and they’re looking for Swedish-speaking tech enthusiasts to join their dynamic support team. About the Role: As a Technical Solutions Consultant, you'll help users get the most out of well-known tech products and services. Your main tasks will include: Providing outstanding customer support via phone, email, and chat Troubleshooting and guiding customers through technical issues Understanding customer needs and delivering effective solutions Ensuring excellent client experience and satisfaction No previous experience is required – full training is provided! What matters most is your fluency in Swedish, good English skills, a positive attitude, and a genuine interest in technology. What’s in It for You: Fully paid training to set you up for success Long-term career opportunities in a stable and growing company Attractive salary package + bonuses Private health insurance and access to wellness services 50+ employee benefits to choose from A friendly international work environment with colleagues from all over Europe Ongoing support and professional development Employee referral bonuses Be part of a company that prioritizes well-being, growth, and team spirit Why Live and Work in Sofia? Sofia offers a vibrant, affordable lifestyle in the heart of the Balkans. With a rich cultural history, modern infrastructure, and a lively expat community, the city combines professional opportunity with amazing leisure – including: Low living costs and high quality of life Beautiful nearby mountains for hiking and skiing Lively cafés, bars, and cultural festivals year-round Direct connections to major European cities A welcoming and diverse international scene Ready to launch your international career? Apply now and take your first step toward an exciting future in Bulgaria or send an email to erika@recruitas.com if you have any questions!"
BG8,"Organizer, processing of production information",2025-10-20,BULLTEK OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Планиране на материални нужди чрез използване на всички налични инструменти за планиране (главно ERP система); Анализ на данни за движенията на материалите и запасите; Мониторинг и оптимизация на нивата на запасите; Въвеждане и поддържане на необходимата информация в ERP за планиране на материали и производство, като се използват всички налични технически средства; Координиране на производствения поток за един или няколко продуктa Добро владеене на английски и офис пакет (основно Excel), работа с ERP система"
BG9,"Machine operator, metalworking machines",2025-10-15,FORTIBUS ENGINEERING EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Извършва дейности по настройка (програмиране) и управление на металообработващи машини с цифрово управление. Комплектова и монтира приспособленията и инструментите върху машината. Зарежда инструменталния комплект с режещи инструменти. Управлява машината в ръчен и автоматичен режим.
BG10,"Assembler, electrical equipment",2025-07-01,MONEL OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","свързване и монтаж на скари, кабели, табла и др.; работа на обекти в Русе и страната основни  понятия за монтаж, техническа грамотност"
BG11,"Assembler, cables",2025-08-21,COMTRADE OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Монтаж на системи за видеонаблюдение. Кандидатът трябва да има технически умения за работа с инструменти и извършване на окабеляване слаботокови инсталации. Изискване е да има шофьорска книжка. Не е необходим предишен опит.
BG13,"Developer, software",2025-10-01,ES BI TEK (GLOBAL) LIMITED - BRANCH BULGARIA KCHT Branch of a foreign entity,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Отговаря за състоянието и функционирането на разработените програмни продукти и системи; Въвежда, адаптира и поддържа програмни продукти и системи; Съставя алгоритми и блок-схема на определени програми или части от тях; Носи отговорност от настъпили вреди от системата за информационно и програмно осигуряване; Изпълнява конкретно възложени задачи, свързани с длъжността  СРМ са за лица с 50% и над 50% н.р. от квотата по чл.38 ал.1 от ЗХУ"
BG15,"Developer, interactive content",2025-06-25,Bosch Digital EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Проектира лесни за използване и ориентирани към потребителя интерфейс решения за различни проекти, използвайки умения и опит по изброените технологии 2. Подпомага цялостното разработване и поддържане на системата за дигитален дизайн на компанията, заедно с централния екип за корпоративен дизайн. 3. Осигурява постоянно високо качество на потребителско изживяване свързано с търговската марка на компанията 4. Участва в целия процес на проектиране от събирането на изискванията заедно с продуктовия отговорник до създаването на макети на потребителски интерфейс и спецификации на дизайна. 5. Интерактивно внедрява подобрения в дизайна в съответствие с обратната връзка от потребителите. 6. Работи в тясно сътрудничество с екипите по софтуерна разработката, следвайки аджайл принципите при внедряване на потребителски интерфейс. 7. Работи със съответните заинтересовани страни от различни направления в компанията, както и с външни доставчици."
BG16,"Employee, maintenance",2025-11-27,CENTRAL PARK 1 EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Поддържа градинската площ / косене / Отговаря за поддръжката на басейн през летния сезон; Прави заявка за необходими  материали и консумативи, необходими за поддръжката на комплекса."
BG18,"Technical Leader, Construction",2025-08-08,AS-STROY - EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Изготвя и обработва техническа документация, свързана със строителния процес (чертежи, спецификации, оферти, договори и др.). Организира и осъществява архивиране и съхранение на документацията. Следи за навременното подаване на необходимите документи към съответните органи и инстанции. Събира, организира и следи за изпълнението на всички технически документи и чертежи на обекта. Периодично проверява съответствието на изпълнените дейности с одобрените чертежи и спецификации. Координира връзката между инженерния екип, строителния ръководител и останалите отдели, свързани със строителния процес."
BG20,"Developer, software",2025-06-24,CIRCLES BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Проектиране, разработване и поддръжка на мащабируеми, високопроизводителни  С++ приложения, внедряване на компоненти, модули и услуги за многократна употреба, следвайки най добрите практики; извършване на прегледи на код, за да се гарантира висококачествен поддържаем код. Участие в ежедневни срещи, планиране на срещи,планиране на спринтове и ретроспективи в  Agile/ Scrum екипи"
BG21,"Expert, design and programming",2025-11-07,AURUBIS BULGARIA AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Отговаря  за сигурността на мрежите в системите за автоматизация Участва в изработването на задания за проектиране и доставка на оборудване в частта автоматизация, с фокус върху киберсигурността и интеграцията с ERP, MES, data historian и други софтуерни платформи Участва в подбора на изпълнители за проекти, свързани с автоматизация и киберсигурност Проучва възможни приложения на нови устройства и системи в компанията и работи по тяхното внедряване Изготвя документи, свързани с ИТ и автоматизация (графици, протоколи, доклади и др.) на български и/или английски език Участва при приемане и пускане в експлоатация на нови програмни продукти и системи за автоматизация Следи за правилната експлоатация на системите за киберсигурност в автоматизацията Участва във внедряване на решения за защита на индустриалната мрежа от неоторизиран достъп"
BG22,"Operator, user support",2025-10-28,TECHNOLEDGE OPS BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Консултант обслужване на клиенти по нетехнически въпроси (Microsoft and OpenText)  с английски език; Стартиране на проекта 13.11.2025 г. Работа с портфолио от корпоративни клиенти; Комуникацията с клиентите е предимно в писмена форма;
BG23,"Programmer, software applications",2025-10-03,KPMG IT Service OOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Старши ДотНет програмист. Разработва нови програми и процеси.Събиране на статистически данни и изгот вяне на доклади, тестване на нови програми, документира процеса на разработване на код, проучва и препоръчва софтуерни приложения, взаимодействие с други екипи в дружеството. и др.по характеристика , описана подробно в Заявката за СРМ."
BG24,"Engineer, building and construction of buildings and structures",2025-10-21,ENERGY SAVING EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Посещение на обекта, оглед и събиране на информация за процесите и съоръженията, обработка и анализ на събраната информация – снимков материал и данни, изготвяне на доклад заедно с експертите по останалите специалности, свързани със спецификата на конкретната задача. Поддържане на база данни с актуалните закони и наредби в областта, в която работи и прилагането им при изпълнение на поставените задачи. При желание за развитие в областта на проектирането – възможност за участие в разработка на инвестиционни проекти за енергийна ефективност на съществуващи и нови сгради. Изисквания: 1. Завършено висше образование /бакалавър или магистър/ по специалност ""Топлотехника"" или ""Топлоенергетика"" или техни производни. 2. Желание за развитие в областта на енергийната ефективност, техническата паспортизация на сгради и проектиране."
BG25,"Construction technician, project-technical department",2025-10-21,ENERGY SAVING EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Извършване на обследвания за енергийна ефективност както на съществуващи, така и на нови сгради са свързани с подкрепа в работата на инженер - проектантите в процеса на изпълнение на текущите задачи.  Участие в извършване на огледи на обектите, събиране и обработка на събраните данни за състоянието на обекта, обитатели, работни режими и др. Работа в сътрудничество с инженери и проектанти за оптимизация на енергийните проекти. Попълване и поддържане на документация, свързана с енергийните обследвания."
BG27,"Programmer, software applications",2025-02-18,DIGITAL NATURE BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Разработва програмни продукти и база данни, съставя алгоритъм на програма въз основа на задание. Предлага различни варианти на програмни решения. Консултира се с дизайнера по време на графичното оформление на програмния продукт. Въвежда защита срещу неправомерно ползване на програмния продукт. Участва при съставянето на ръководство на потребителя за ползване на програмата и се консултира с документатор. Определя хардуерните и софтуерните изисквания за използване на новия програмен продукт. Подготвя презентация и демонстрира готовия продукт пред възложителя.Демонстрира готовия програмен продукт пред възложителя.Обучава служители за работа с новия програмен продукт. Изпълнява всички процедури и инстукции, произтичащи от въведената система по качество. Изпълнява и други задължения, възложени от прекия му ръководител или от ръководството на предприятието, свързани с работата му."
BG28,"Technician, computer systems",2025-12-08,SELECT ENGINEERING OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Инсталатор на системи за сигурност. Знания и умения по изграждане и поддръжка на кабелни мрежи, видеонаблюдение, домофонни системи, СОТ системи Диагностициране и отстраняване на хардуерни и софтуерни проблеми"
BG31,Turner,2025-11-13,ENSI CONTROL EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","- Възстановява повредени детайли за ел.двигaтели; - Настройва, проверява за точост и управлява сложни универсални стругове и фрези; - Стругова отговорни и със сложна конфигураця детайли, изискващи грижлива проверка по няколко повърхнини с няколко установки и начини на закрепване, стругова цилиндрични, конични и др. повърхнини, разположени ексцентрично и под ъгъл; - Заточва всякакъв вид инструменти с шаблон и ъгломер. с минимум 1 проф.опит"
BG32,"Machine operator, metalworking machines",2025-09-16,ZMM STOMANA AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Пускане в действие една или повече металорежещи машини за производство на метални изделия в стандартизирани серии,управление и контрол на металорежещи машини като  стругове, фрези, пробивни машини, машини за шлифоване, шлайфмашини, хобел-машини, полир-машини, включително многофункционални металообработващи машини с цифрово програмно управление.Наблюдение на машинни операции с цел откриване на дефекти в готови продукти или неправилно функциониране на машините и при необходимост извършват съответното настройване. Проверка готови продукти за възможни дефекти, измерване на заготовки за определяне на точността на машинните операции като се използват измервателни  инструменти,смяна на износени машинни приспособления и режещи инструменти."
BG33,Foundry worker,2025-09-16,ZMM STOMANA AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Ръчно изработване на леярски форми за различни по големина отливки като се използват спомагателно оборудване;Изработка на сърца за леене на метали;Почистване и изглаждане на отливки, леярски сърца, поправка и отстраняване на повърхностни дефекти;поставяне на образеца в леярски форми; отрязване на улеи, канали за леене и отвори в леярските форми; и повдигане на горната секция и отделят долната секция за изваждане на профилите."
BG40,"Dispatcher, vehicles",2025-12-09,MS SOT MONTANA OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)",Диспечер в охранителна фирма. Приемане на сигнали от клиенти на фирмата и сигнализиране на охранителите чрез компютърна програма. Възложени от работодателя
BG43,"Manager, Production",2025-03-14,EKOPLAST FIBER AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Планиране и контрол на производството на синтетични влакна – създаване на производствени графици, разпределение на ресурси и следене на изпълнението. 2. Управление на екипа – ръководене на оператори, инженери и други служители в производството. 3. Оптимизация на процесите – търсене на начини за намаляване на разходите, повишаване на ефективността и подобряване на качеството. 4. Контрол на качеството – следене на спазването на стандартите и въвеждане на мерки за подобрение. 5. Съответствие с нормативните изисквания – осигуряване на безопасност и екологични норми в производството. 6. Работа с доставчици и клиенти – управление на материали, срокове и доставки. 7. Докладване към ръководството – анализ и представяне на производствени показатели. Лидерски и организационни способности Технически познания за производствения процес Умения за планиране и анализ Познаване на ERP системи и производствени софтуери Комуникационни и управленски умения"
BG45,"Programmer, software applications",2025-03-28,Veleyahome EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Проектиране и разработка на сложни, мащабируеми уеб приложения с PHP 7.2+ и PostgreSQL, включително оптимизация на заявки за обработка на големи данни (20M+ записи). 2. Рекурсивни CTE (Common Table Expressions) за йерархични данни и логиране на бавни заявки чрез EXPLAIN ANALYZE. 3. Разработване на Front-end приложения на ExtJs и Back-end част на Zendframework 2."
