noun_phrase,frequency,example_job_id
experience,3633,BG10
knowledge,1984,BG2
part,1680,BG4
candidates,1243,HR6
english,1230,BG14
ability,1129,BG39
work,1072,BG29
development,1051,BG17
applications,983,HR3
responsibility,880,BG39
maintenance,855,BG5
innovation,854,HR70
education,819,HR5
your application,800,BG38
requirements,774,BG17
compliance,746,BG2
collaboration,698,BG1
people,684,HR61
training,678,BG4
quality,668,BG25
technology,643,BG4
research,611,HR141
them,605,BG3
design,598,BG17
projects,598,BG14
support,590,HR14
production,584,BG23
employment,582,HR6
management,581,BG25
data,556,BG17
implementation,538,HR3
willingness,529,HR3
skills,527,BG10
customers,522,BG38
accordance,495,BG27
tools,494,BG6
clients,492,BG15
equipment,491,BG14
solutions,485,BG14
our team,464,HR14
automation,457,BG14
qualifications,451,HR5
processes,447,BG16
computer science,447,HR3
analysis,442,HR25
preparation,435,BG39
your tasks,432,HR3
europe,426,BG4
your profile,422,HR3
documentation,418,BG18
opportunities,415,HR14
applicants,413,HR6
tasks,411,BG24
services,407,BG4
email,403,BG4
our customers,401,HR139
engineering,400,HR6
site,389,HR3
installation,386,BG7
diversity,385,LV54
materials,379,BG5
python,377,HR3
employees,366,HR4
systems,361,BG9
sustainability,359,HR4
safety,354,HR8
monitoring,345,BG5
our clients,340,LV46
testing,339,HR5
responsibilities,337,HR25
information,331,BG17
cooperation,329,HR3
communication,326,BG15
planning,325,BG5
coordination,323,BG1
participation,322,BG18
colleagues,320,BG4
expertise,311,LV36
good knowledge,304,BG38
attention,301,BG39
security,293,HR35
products,291,BG41
our client,286,BG4
application,286,HR5
others,286,BG3
selection,285,HR60
yourself,284,HR4
working hours,282,BG42
addition,279,HR6
salary,278,HR70
repair,278,BG27
professional experience,276,BG21
machines,274,BG3
sales,274,HR142
more information,272,HR140
performance,271,HR35
suppliers,267,BG25
job description,265,BG2
polish,263,PL1
control,261,BG2
electrical engineering,261,HR6
society,260,LV63
science,259,HR58
passion,257,PL79
time,254,HR91
year,252,HR3
results,250,HR11
persons,250,BG9
teamwork,248,BG1
month,247,EE36
your skills,245,EE8
our employees,244,HR3
legislative decree,244,IT5
work experience,240,HR6
technical documentation,240,BG12
supervision,239,HR5
dtu,239,DK44
access,238,BG4
reliability,238,HR13
optimization,236,BG5
equal treatment,235,EE85
questions,235,HR122
technologies,234,HR23
reports,232,BG2
duties,231,BG2
full-time employment,231,HR68
standards,228,BG25
flexibility,227,HR3
possibility,227,HR27
week,227,HR44
your work,226,EE25
contact,223,LV36
denmark,222,LV130
articles,222,HR6
mail,221,HR6
flexible working hours,221,HR4
understanding,219,HR12
execution,217,BG25
teams,217,HR4
your career,216,BG4
efficiency,212,BG25
construction,212,BG1
companies,212,HR45
our company,212,CY26
new technologies,210,BG44
universities,210,LV99
all,209,HR61
assembly,208,BG31
software,207,HR14
project management,206,HR80
machine learning,206,HR3
integration,203,BG14
gi group holding,202,IT5
continuous improvement,200,HR3
proof,199,HR6
proficiency,198,HR11
order,198,BG39
stakeholders,197,LV167
organization,195,HR19
application method,194,HR46
energy,193,HR118
familiarity,193,HR3
industry,193,HR3
benefits,193,HR11
date,193,BG15
operation,192,BG6
1101 - sg,191,IT5
asia,191,LV135
someone,191,PL175
operations,191,HR121
job responsibilities,190,HR102
phone,189,BG4
continuous learning,189,HR80
best practices,188,BG13
hr services,188,PL69
regulations,187,BG17
initiative,187,HR19
previous experience,187,BG8
everyone,186,HR123
end,184,HU2
place,183,HR19
mechanical engineering,183,HR12
mathematics,182,HR51
life,182,BG4
full-time,182,BG86
luxembourg,181,DE293
procedures,180,BG2
availability,179,HR15
your cv,179,EE34
required qualifications,177,HR99
article,177,BG9
detail,177,BG16
students,176,HR60
health,175,HR53
social policies,175,IT5
activities,175,BG6
evaluation,174,HR67
french,174,PT50
precision,173,HR18
inclusion,173,PL122
higher education,172,BG17
location,172,HR4
infrastructure,172,HR151
disabilities,170,HR6
labor,169,HR128
gi group s.p.a,168,IT5
business,167,LV112
chemistry,167,HR95
/f/d,166,HR4
data science,166,BE90
communication skills,164,HR37
further information,162,PT38
master s degree,161,BG17
interest,160,EE44
problems,159,HR36
gender,159,DK44
switzerland,159,LV77
our group,159,BE191
publications,158,PL192
america,157,FR267
case,157,BG2
service,156,HR6
your role,156,HR81
several years,156,HR22
sql,156,HR37
basic knowledge,156,HR13
profile,156,PT3
age,155,HR62
mechatronics,155,HR12
artificial intelligence,155,PT44
iso,154,LV148
male candidates,154,TR1
engineers,154,BG18
partners,153,EE25
environment,153,RO39
everything,153,EE15
military service,152,SE137
at least 5 years,152,HR68
close collaboration,151,LV29
germany,151,HR20
quality control,151,HR13
components,151,HR5
disability,150,HR53
friday,149,EE56
users,148,BG4
line,147,HR37
list,147,HR114
specifications,146,BG12
technical drawings,145,HR9
devices,145,HR15
sweden,145,EE34
deadlines,144,BG25
tests,144,HR67
teaching,144,DK53
f/d,143,PL201
bachelor s degree,143,HR5
creation,143,HR15
home,142,HR35
azure,142,EE32
programming,141,BG6
conditions,141,HR17
growth,140,BG4
aws,139,EE29
methods,139,HR5
expectations,139,EE3
the-art,139,EE37
reporting,139,HR59
manufacturing,138,HR139
at least 3 years,138,EE31
care,137,BG28
use,137,HR13
excellence,137,HR51
analyses,137,LV84
autocad,136,HR1
technical support,136,BG38
ms office,135,HR10
our website,134,HR139
accuracy,134,BG21
opportunity,134,BG40
changes,134,HR18
your missions,134,BE2
studies,134,HR51
data analysis,134,BG5
interviews,133,HR6
outsourcing,132,IT5
instructions,131,BG19
permanent,130,ES17
university,130,HR83
your expertise,129,BE2
production processes,128,HR67
proven experience,128,HR106
motivation,127,HR148
physics,127,EE44
autonomy,127,HR106
professional development,127,HR22
strong communication skills,127,HR107
repairs,127,HR94
mastery,127,EE57
german,126,PL26
cybersecurity,126,BG14
parts,126,BG9
good communication skills,126,EE21
qualification,125,BG44
copy,125,HR7
your responsibilities,125,HR15
consultancy,125,BE177
women,125,BG40
code,124,HR119
troubleshooting,124,HR105
finance,124,HR49
value,123,BE70
bachelor s,123,BG17
mechanics,123,HR25
minimum,122,HR5
potential,122,EE92
installations,122,BG27
norway,122,EE34
validation,121,CY62
france,121,LV77
electronics,121,CY54
your experience,121,LV51
team spirit,120,HR13
innovative solutions,120,LV13
more than 37 countries,120,IT5
logistics,120,HU4
agreement,120,HR37
commitment,119,HR18
databases,119,BG19
hr administration,119,IT5
degree,119,HR33
improvements,119,HR133
employability,119,DK101
processing,118,BG18
temporary,118,IT5
professional,118,PT85
executive search,118,IT5
costs,117,BG25
independence,117,HR19
staffing,117,IT5
robotics,116,HR3
electricity,116,CY16
risks,115,LV167
drawings,115,BG12
your qualifications,115,HR155
ntnu,115,NO36
curiosity,114,BE232
other requirements,114,EE1
shifts,114,HR11
oslo,113,SE228
leadership,113,BG25
issues,113,BG38
documents,112,HR6
improvement,112,HR22
eu reg,112,IT12
success,112,HR151
challenges,112,HR149
architecture,111,HR49
"over 9,000 people",111,IT5
raw materials,110,HR13
connection,110,HR105
workplace,110,HR8
terms,110,HR48
delivery,110,BG14
creativity,110,EE44
department,109,HR71
insights,109,HU2
reference,108,HR60
priority,108,HR51
hr consulting,108,IT5
marketing,108,EE74
career transition,108,IT5
trust,108,EE46
position,107,HR128
cv - application languages,106,PL5
certificates,106,HR48
permanent contract,106,HR61
phd,106,PL192
writing,106,HR23
innovations,105,HR14
preference,105,HR6
practical experience,105,CY60
software development,105,HR3
experts,105,BG17
your team,104,PT58
docker,104,EE31
change,104,BE70
something,104,EE31
equality,104,BE60
religion,104,PL122
istanbul,103,SE51
ideas,103,LV167
networks,102,BG14
their skills,102,PL174
close cooperation,101,LT17
hands-on experience,101,CY7
ms office programs,101,EE13
electrical installations,100,HR99
product development,100,HR22
our people,100,PT38
further development,100,BE217
sap,100,HR140
our mission,100,HR4
aarhus university,100,DK68
scope,100,HR80
kubernetes,99,EE31
equal opportunities,99,BE60
swedish,99,BG4
ownership,99,BE70
legislative decrees,99,IT6
inspection,98,BG17
6 months,98,HR7
impact,98,BE120
their application,97,BG17
statistics,96,HR34
areas,96,HR11
permanent employment,96,HR5
don t,96,PL47
cloud,96,HR48
assessment,95,HR5
additional information,95,EE34
solid knowledge,95,HR151
collaborate,95,CY11
subcontractors,95,HR155
developers,95,HR40
works,94,HR61
new products,94,HR23
configuration,94,HR48
deployment,94,PL69
progress,93,HR27
respect,93,PL68
its clients,93,DE330
diploma,93,HR6
excellent communication skills,93,HR11
heating,92,CY99
researchers,92,BE116
process,92,HR14
cross-functional teams,92,BE22
experiences,91,CY6
tel,91,HU5
rigor,91,PT10
assistance,91,HR108
learning,90,LV54
quality assurance,90,LV147
3 years,90,HR5
languages,90,HR60
roles,90,PL79
monday,90,CY58
evidence,90,HR25
samples,90,HR89
fluency,90,CY47
guidelines,89,LV65
very good knowledge,89,HR66
team player,89,CY10
our candidates,89,FR82
our products,89,HR4
things,89,BE48
sexual orientation,89,PT71
programs,89,HR14
contact details,89,HR70
our work,89,HR3
competence,88,LV138
example,88,EE38
behalf,87,HU2
quality standards,87,HR11
terraform,87,BE48
key responsibilities,86,HR13
your knowledge,86,LV102
day,86,HR151
any questions,86,BG4
eu regulation,85,HR250
charge,85,PT8
your mission,85,HR151
individuals,85,HR49
other departments,85,BG12
recruitment,85,HR95
r d,84,BE49
at least 2 years,84,HR13
technician,84,HR95
some,84,DK6
plans,84,HR5
economics,83,HR69
passionate professionals,83,IT6
m/f,83,HR93
sense,83,LV8
departments,83,LV136
vienna,83,AT6
travel,83,BG38
finland,83,EE34
40 hours,82,HR2
probationary work,81,SI4
analytical thinking,81,HR15
models,81,HR40
