3_digit_code,3_digit_label
121,Business Services and Administration Managers
122,"Sales, Marketing and Development Managers"
132,"Manufacturing, Mining, Construction and Distribution Managers"
133,Information and Communications Technology Services Managers
211,Physical and Earth Science Professionals
212,"Mathematicians, Actuaries and Statisticians"
213,Life Science Professionals
214,Engineering Professionals (excluding Electrotechnology)
215,Electrotechnology Engineers
216,"Architects, Planners, Surveyors and Designers"
231,University and Higher Education Teachers
243,"Sales, Marketing and Public Relations Professionals"
251,Software and Applications Developers and Analysts
252,Database and Network Professionals
311,Physical and Engineering Science Technicians
312,"Mining, Manufacturing and Construction Supervisors"
313,Process Control Technicians
314,Life Science Technicians and Related Associate Professionals
315,Ship and Aircraft Controllers and Technicians
321,Medical and Pharmaceutical Technicians
325,Other Health Associate Professionals
331,Financial and Mathematical Associate Professionals
351,Information and Communications Technology Operations and User Support Technicians
352,Telecommunications and Broadcasting Technicians
432,Material Recording and Transport Clerks
441,Other Clerical Support Workers
711,Building Frame and Related Trades Workers
712,Building Finishers and Related Trades Workers
713,"Painters, Building Structure Cleaners and Related Trades Workers"
721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers"
722,"Blacksmiths, Toolmakers and Related Trades Workers"
723,Machinery Mechanics and Repairers
732,Printing Trades Workers
741,Electrical Equipment Installers and Repairers
742,Electronics and Telecommunications Installers and Repairers
753,Garment and Related Trades Workers
754,Other Craft and Related Workers
811,Mining and Mineral Processing Plant Operators
812,Metal Processing and Finishing Plant Operators
813,Chemical and Photographic Products Plant and Machine Operators
814,"Rubber, Plastic and Paper Products Machine Operators"
815,"Textile, Fur and Leather Products Machine Operators"
816,Food and Related Products Machine Operators
817,Wood Processing and Papermaking Plant Operators
818,Other Stationary Plant and Machine Operators
821,Assemblers
834,Mobile Plant Operators
835,Ships’ Deck Crews and Related Workers
921,"Agricultural, Forestry and Fishery Labourers"
931,Mining and Construction Labourers
932,Manufacturing Labourers
933,Transport and Storage Labourers
962,Other Elementary Workers
