job_id,job_title,date,company_name,country,country_code,region,field,full_description,coordinates
BG1,"Инженер, проектант",2025-12-05,Кселла ТиСиЕс ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,- CAD проектиране и конструиране на стандартни и нестандартни покриви и стени от монтажни елементи/панели - изготвяне на количествени сметки; - координация на проекта с проектанти и изпълнители; - сътрудничество и работа в екип с останалите структурни единици на компанията,"(42.6977, 23.3219)"
BG2,"Счетоводител, оперативен",2025-11-06,"ОБЩИНСКО ПРЕДПРИЯТИЕ ""ИНВЕСТИЦИОННА ПОЛИТИКА"" поделение",Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Счетоводител - бюджетен: Приема и проверява първични документи, осчетоводява разчети с контрагенти, осчетоводява задбалансово поети ангажименти, изготвя платежни документ. При необходимост изпълнява и други задачи, възложени във връзка с изпълнение на длъжността.","(43.2141, 27.9147)"
BG3,"Инженер, инвеститорски контрол",2025-11-06,"ОБЩИНСКО ПРЕДПРИЯТИЕ ""ИНВЕСТИЦИОННА ПОЛИТИКА"" поделение",Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Съставя предварителни количествено-стойностни сметки за обекти ново строителство, рехабилитация, основен ремонт, текущ ремонт. Контролира работата на изпълнителя, строителния надзор на обектите. Обхожда обектите, констатира, контролира, докладва при несъответствие, приема и отчита работата по обектите. Спазване задълженията по длъжностна характеристика; вътрешните правила и процедури, описващи етапите на процеса по инвеститорския контрол; правилника за вътрешния трудов ред. Познаване на законовите разпоредби, свързани със строителство и контрол.","(43.2141, 27.9147)"
BG4,Сервизен техник,2025-10-22,РЕНТАМ ЕАД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Извършва диагностика и сервизиране на вишки, платформи, генератори и други в регион Стара Загора и околностите/Югозападен. Попълва сервизни протоколи за извършени ремонти. Подготвя и инспектира машините преди предаване на клиент. Участва в прием на машини и тяхното почистване","(43.2141, 27.9147)"
BG5,Търговски представител,2025-10-23,Екосол България АД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Проактивно търсене и поддържане на търговски взаимоотношения с потенциални и съществуващи клиенти в страната. Презентиране и консултиране на клиенти по отношение на най-подходящата техника.Изготвяне на ценови предложения и водене на преговори.Предаване и провеждане на обучения за правилно управление и експлоатация на машините, при необходимост","(42.6977, 23.3219)"
BG6,Technical Support Consultant – Swedish Speaking,2025-09-04,Recruitas AB,Bulgaria,BG,Sofia,Other / Undefined,"Are you looking to take the next step in your career and grow in an international environment? Our client – a global leader in customer experience solutions – is now expanding their team in Sofia, and they’re looking for Swedish-speaking tech enthusiasts to join their dynamic support team. About the Role: As a Technical Solutions Consultant, you'll help users get the most out of well-known tech products and services. Your main tasks will include: Providing outstanding customer support via phone, email, and chat Troubleshooting and guiding customers through technical issues Understanding customer needs and delivering effective solutions Ensuring excellent client experience and satisfaction No previous experience is required – full training is provided! What matters most is your fluency in Swedish, good English skills, a positive attitude, and a genuine interest in technology. What’s in It for You: Fully paid training to set you up for success Long-term career opportunities in a stable and growing company Attractive salary package + bonuses Private health insurance and access to wellness services 50+ employee benefits to choose from A friendly international work environment with colleagues from all over Europe Ongoing support and professional development Employee referral bonuses Be part of a company that prioritizes well-being, growth, and team spirit Why Live and Work in Sofia? Sofia offers a vibrant, affordable lifestyle in the heart of the Balkans. With a rich cultural history, modern infrastructure, and a lively expat community, the city combines professional opportunity with amazing leisure – including: Low living costs and high quality of life Beautiful nearby mountains for hiking and skiing Lively cafés, bars, and cultural festivals year-round Direct connections to major European cities A welcoming and diverse international scene Ready to launch your international career? Apply now and take your first step toward an exciting future in Bulgaria or send an email to erika@recruitas.com if you have any questions!","(None, None)"
BG7,"Game Presenter  (m,f) English (Croupier/Croupière)",2025-12-04,Personalbüro U. Herrmann,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"DUTIES AND RESPONSIBILITIES: - To be “the face” of the company delivering expert knowledge and superior gaming quality - To represent and maintain the company brand by consistently adhering to the company presentation and grooming policy - To present all games in the required professional manner, showcasing exceptional presenting skills at all times in line with the company performance expectations - The ability to engage players - To maintain a professional level of technical proficiency in all games with the ability to remain fully aware of your performance at all times and ensure compliance with the Company brand guidelines - To have an active role in the company’s continuous improvement plan to achieve plans for future growth within the company. REQUIREMENTS: - Fluency in English (B2+), both oral and written. - Exceptional presenting skills - An enthusiastic and positive attitude with an outgoing personality - Must be able to maintain high energy levels for the duration of games that require a more animated performance - Flexibility of working hours and the ability to commit to a 24/7 service pattern - Must be reliable and have good attendance and timekeeping records - Attention to detail and excellent people skills are essential as this is a customer-facing role - Must be able to demonstrate the ability to think quickly and remain calm under pressure while maintaining accuracy, discipline and discretion BENEFITS: - Working schedule: Rotational shifts 24/7 - 7 AM to 3 PM, 3 PM to 11 PM, 11 PM to 7 AM (with an ability to self select some shifts) - Excellent remuneration package based on experience, skills, and performance - Be part of a dynamic international team with a positive and friendly atmosphere - Guidance and tools to reach career potential - Paid training - Performance bonuses - Private health insurance - Public transportation card - Free night-shift taxi service to and from the studio - Multisport card - Relocation support applicable to those at least 50KM from Sofia or moving from another EU country","(43.2141, 27.9147)"
BG8,"Организатор, обработка на производствена информация",2025-10-20,БУЛЛТЕК ООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Планиране на материални нужди чрез използване на всички налични инструменти за планиране (главно ERP система); Анализ на данни за движенията на материалите и запасите; Мониторинг и оптимизация на нивата на запасите; Въвеждане и поддържане на необходимата информация в ERP за планиране на материали и производство, като се използват всички налични технически средства; Координиране на производствения поток за един или няколко продуктa Добро владеене на английски и офис пакет (основно Excel), работа с ERP система","(42.6977, 23.3219)"
BG9,"Машинен оператор, металообработващи машини",2025-10-15,ФОРТИБУС ИНЖЕНЕРИНГ ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,Извършва дейности по настройка (програмиране) и управление на металообработващи машини с цифрово управление. Комплектова и монтира приспособленията и инструментите върху машината. Зарежда инструменталния комплект с режещи инструменти. Управлява машината в ръчен и автоматичен режим.,"(42.6977, 23.3219)"
BG10,"Монтажник, електрооборудване",2025-07-01,МОНЕЛ ООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"свързване и монтаж на скари, кабели, табла и др.; работа на обекти в Русе и страната основни  понятия за монтаж, техническа грамотност","(43.2141, 27.9147)"
